"","placement","frequency_mhz","Input Power (W)","SAR_wholebody (mW/kg)","SAR_head (mW/kg)","SAR_brain (mW/kg)","SAR_trunk (mW/kg)","psSAR10g_eyes (mW/kg)","psSAR10g_skin (mW/kg)","psSAR10g_brain (mW/kg)","yaml_name_whole_body","yaml_name_whole_brain"
"11","front_of_eyes_center_vertical",700,1,2.62829358791014,1.2101752507089,0.322235768557809,0.259494210336319,5.73749638036981,12.4135185948709,4.56549845546945,"Duke_fronteyes_700_front_of_eyes_center_vertical: 2.62829358791014","Duke_fronteyes_700_front_of_eyes_center_vertical: 0.322235768557809"
"12","front_of_eyes_center_vertical",800,1,2.41963593688198,0.924776364295655,0.230305430952745,0.228316702499311,4.28897710546218,9.85100217831799,3.29488556246228,"Duke_fronteyes_800_front_of_eyes_center_vertical: 2.41963593688198","Duke_fronteyes_800_front_of_eyes_center_vertical: 0.230305430952745"
"13","front_of_eyes_center_vertical",900,1,2.24113474966873,1.28558573370516,0.460097005207093,0.408720599808275,5.99134158905832,23.4365720953008,6.45125054989604,"Duke_fronteyes_900_front_of_eyes_center_vertical: 2.24113474966873","Duke_fronteyes_900_front_of_eyes_center_vertical: 0.460097005207093"
"14","front_of_eyes_center_vertical",1450,1,1.34868774744779,5.18380786924017,2.67674247949734,2.02754850409372,24.6858096874829,145.980385395716,36.9219232420876,"Duke_fronteyes_1450_front_of_eyes_center_vertical: 1.34868774744779","Duke_fronteyes_1450_front_of_eyes_center_vertical: 2.67674247949734"
"15","front_of_eyes_center_vertical",1800,1,1.33690444715496,5.64208954031402,1.86189509089857,1.92896242283927,24.397652256661,127.055409782574,30.078224295359,"Duke_fronteyes_1800_front_of_eyes_center_vertical: 1.33690444715496","Duke_fronteyes_1800_front_of_eyes_center_vertical: 1.86189509089857"
"16","front_of_eyes_center_vertical",2100,1,1.32680447547539,6.03490240123445,1.16345447209963,1.84446006747832,24.1506601730994,110.834002114168,24.2121966267345,"Duke_fronteyes_2100_front_of_eyes_center_vertical: 1.32680447547539","Duke_fronteyes_2100_front_of_eyes_center_vertical: 1.16345447209963"
"17","front_of_eyes_center_vertical",2400,1,1.38215531072585,6.54899137579648,1.2838376966968,1.88251145476008,48.9210472276486,122.337002797519,53.4786541225542,"Duke_fronteyes_2400_front_of_eyes_center_vertical: 1.38215531072585","Duke_fronteyes_2400_front_of_eyes_center_vertical: 1.2838376966968"
"18","front_of_eyes_center_vertical",2600,1,1.33744369472861,6.37602137691895,1.19458282842249,1.63270484303318,55.1195668920263,121.468745735994,60.6139356230551,"Duke_fronteyes_2600_front_of_eyes_center_vertical: 1.33744369472861","Duke_fronteyes_2600_front_of_eyes_center_vertical: 1.19458282842249"
"19","front_of_eyes_center_vertical",3500,1,1.00375380858243,4.80545454545454,0.412697495195415,0.0769593634449937,63.6914702640338,100.490909090909,68.7541694126346,"Duke_fronteyes_3500_front_of_eyes_center_vertical: 1.00375380858243","Duke_fronteyes_3500_front_of_eyes_center_vertical: 0.412697495195415"
"20","front_of_eyes_center_vertical",5000,1,0.655184595887261,3.01254776436413,0.115496860823444,0.803218325172045,44.8713981146249,76.4161601633748,34.0040555991922,"Duke_fronteyes_5000_front_of_eyes_center_vertical: 0.655184595887261","Duke_fronteyes_5000_front_of_eyes_center_vertical: 0.115496860823444"
"21","front_of_eyes_down_horizontal",700,1,2.65432808088713,1.22908811865021,0.516197079998332,0.269743525771018,5.27663715837754,6.52934477162244,3.62472982784168,"Duke_fronteyes_700_front_of_eyes_down_horizontal: 2.65432808088713","Duke_fronteyes_700_front_of_eyes_down_horizontal: 0.516197079998332"
"22","front_of_eyes_down_horizontal",800,1,2.43076446228903,2.10384946721165,0.382647134410315,0.214745620136513,2.73707625988803,4.88327733457776,2.76130028909401,"Duke_fronteyes_800_front_of_eyes_down_horizontal: 2.43076446228903","Duke_fronteyes_800_front_of_eyes_down_horizontal: 0.382647134410315"
"23","front_of_eyes_down_horizontal",900,1,2.21277078502742,2.593394254608,0.452141752713122,0.313232463122419,4.70622757406376,14.5119227221661,3.91450037759871,"Duke_fronteyes_900_front_of_eyes_down_horizontal: 2.21277078502742","Duke_fronteyes_900_front_of_eyes_down_horizontal: 0.452141752713122"
"24","front_of_eyes_down_horizontal",1450,1,1.03030115558509,4.14505692337598,1.43568643874755,1.3094610858438,28.8892844318465,100.859968026854,16.2294270681604,"Duke_fronteyes_1450_front_of_eyes_down_horizontal: 1.03030115558509","Duke_fronteyes_1450_front_of_eyes_down_horizontal: 1.43568643874755"
"25","front_of_eyes_down_horizontal",1800,1,1.02645678516638,2.7393728379909,1.1195208091499,1.34212271514896,31.3502930042557,117.379078918417,16.7809430901656,"Duke_fronteyes_1800_front_of_eyes_down_horizontal: 1.02645678516638","Duke_fronteyes_1800_front_of_eyes_down_horizontal: 1.1195208091499"
"26","front_of_eyes_down_horizontal",2100,1,1.02316161052177,1.53450076480369,0.848521698066202,1.37011839741052,33.4597289234637,131.538316825471,17.2536711090271,"Duke_fronteyes_2100_front_of_eyes_down_horizontal: 1.02316161052177","Duke_fronteyes_2100_front_of_eyes_down_horizontal: 0.848521698066202"
"27","front_of_eyes_down_horizontal",2400,1,1.10456473921102,5.10159747516619,0.719971390932818,5.10159747516619,29.3508356840279,133.298168508618,20.6985144757668,"Duke_fronteyes_2400_front_of_eyes_down_horizontal: 1.10456473921102","Duke_fronteyes_2400_front_of_eyes_down_horizontal: 0.719971390932818"
"28","front_of_eyes_down_horizontal",2600,1,1.05779410557261,5.42841143821808,0.679406147451123,5.22381036663828,35.3028305743129,139.531618649079,27.5427788491441,"Duke_fronteyes_2600_front_of_eyes_down_horizontal: 1.05779410557261","Duke_fronteyes_2600_front_of_eyes_down_horizontal: 0.679406147451123"
